"ID";"cong";"billnum";"h_or_sen";"major";"text"
1;107;4499;"HR";18;"To suspend temporarily the duty on Fast Magenta 2 Stage."
2;107;4500;"HR";18;"To suspend temporarily the duty on Fast Black 286 Stage."
3;107;4501;"HR";18;"To suspend temporarily the duty on mixtures of Fluazinam."
4;107;4502;"HR";18;"To reduce temporarily the duty on Prodiamine Technical."
5;107;4503;"HR";5;"To amend the Immigration and Nationality Act in regard to Caribbean-born immigrants."
6;107;4504;"HR";21;"To amend title 38, United States Code, to extend the eligibility for housing loans guaranteed by the Secretary of Veterans Affairs under the Native American Housing Loan Pilot Program to veterans who are married to Native Americans."
7;107;4505;"HR";15;"To repeal subtitle B of title III of the Gramm-Leach-Bliley Act."
8;107;4506;"HR";18;"To suspend temporarily the duty on T-Butyl Acrylate."
9;107;4507;"HR";18;"To suspend temporarily the duty on 2,4-Xylidine."
10;107;4508;"HR";18;"To suspend temporarily the duty on Tetrakis ((2,4-di-tert-butylphenyl)4,4-biphenylenediphosphonite)."
11;107;4509;"HR";18;"To suspend temporarily the duty on palmitic acid."
12;107;4510;"HR";16;"To amend chapter 171 of title 28, United States Code, with respect to the liability of the United States for claims of military personnel for damages for certain injuries."
13;107;4511;"HR";18;"To suspend temporarily the duty on certain carbon dioxide cartridges."
14;107;4512;"HR";12;"To amend the Internal Revenue Code of 1986 to encourage the use of safety devices in firearms."
15;107;4513;"HR";2;"To strengthen the authority of the Federal Government to protect individuals from certain acts and practices in the sale and purchase of Social Security numbers and Social Security account numbers, and for other purposes."
16;107;4514;"HR";3;"To authorize the Secretary of Veterans Affairs to carry out construction projects for the purpose of improving, renovating, and updating patient care facilities at Department of Veterans Affairs medical centers, and for other purposes."
17;107;4515;"HR";3;"To amend title XVIII of the Social Security Act to provide for improvements in access to services in rural hospitals and critical access hospitals."
18;107;4516;"HR";18;"To suspend temporarily the duty on 12-Hydroxyoctadecanoic acid, reaction product with N,N-dimethyl, 1,3-propanediamine, dimethyl sulfate, quaternized."
19;107;4517;"HR";18;"To suspend temporarily the duty on 40% Polymer acid salt/polymer amide, 60% Butyl acetate."
20;107;4518;"HR";18;"To suspend temporarily the duty on 12-Hydroxyoctadecanoic acid, reaction product with N,N-dimethyl- 1,3-propanediamine, dimethyl sulfate, quaternized, 60 percent solution in toluene."
21;107;4519;"HR";18;"To suspend temporarily the duty on Polymer acid salt/polymer amide."
22;107;4520;"HR";18;"To suspend temporarily the duty on 50% Amine neutralized phosphated polyester polymer, 50% Solvesso 100."
23;107;4521;"HR";18;"To suspend temporarily the duty on 1-Octadecanaminium, N,N-di-methyl-N-octadecyl-, (Sp-4-2)-[29H,31H-phtha- locyanine-2- sulfonato(3-)-.kappa.N29,.kappa.N30,. kappa.N31,.kappa.N32]cuprate(1-)."
24;107;4522;"HR";18;"To suspend temporarily the duty on Chromate(1-),bis{1-{(5-chloro-2-hydroxyphenyl)azo}-2-napthal enolato(2-)}-,hyrogen."
25;107;4523;"HR";18;"To suspend temporarily the duty on Aryl substituted copper phthalocyanine."
26;107;4524;"HR";19;"To ensure that the Enhanced Highly Indebted Poor Countries Initiative achieves the objective of substantially increasing resources available for human development and poverty reduction in heavily indebted poor countries, and for other purposes."
27;107;4525;"HR";18;"To suspend temporarily the duty on Phytol."
28;107;4526;"HR";18;"To suspend temporarily the duty on kresoxim-methyl."
29;107;4527;"HR";18;"To suspend temporarily the duty on Chloridazon."
30;107;4528;"HR";18;"To suspend temporarily the duty on diethyl ketone."
31;107;4529;"HR";18;"To suspend temporarily the duty on PDC."
32;107;4530;"HR";21;"To direct the Secretary of the Interior to conduct a study of the suitability and feasibility of establishing the Blue Ridge Heritage and Cultural Partnership Study Area in North Carolina, and for other purposes."
33;107;4531;"HR";20;"To award a congressional gold medal to Dr. Dorothy Height in recognition of her many contributions to the Nation."
34;107;4532;"HR";18;"To suspend temporarily the duty on Disperse Orange 30, Disperse Blue 79:1, Disperse Red 167:1, Disperse Yellow 64, Disperse Red 60, Disperse Blue 60, Disperse Blue 77, Disperse Yellow 42, Disperse Red 86, and Disperse Red 86:1."
35;107;4533;"HR";18;"To suspend temporarily the duty on Disperse Blue 321."
36;107;4534;"HR";18;"To suspend temporarily the duty on Direct Black 175."
37;107;4535;"HR";18;"To suspend temporarily the duty on Disperse Red 73 and Disperse Blue 56."
38;107;4536;"HR";18;"To suspend temporarily the duty on Acid Black 132 and Acid Black 172."
39;107;4537;"HR";18;"To suspend temporarily the duty on Acid Black 107."
40;107;4538;"HR";18;"To suspend temporarily the duty on Acid Yellow 219, Acid Orange 152, Acid Red 278, Acid Orange 116, Acid Orange 156, and Acid Blue 113."
41;107;4539;"HR";5;"To amend the Child Care and Development Block Grant Act of 1990 to provide market rate payments for child care services provided under such Act."
42;107;4540;"HR";99;"-- Private Bill;  To provide for the liquidation or reliquidation of certain entries of pasta."
43;107;4541;"HR";99;"-- Private Bill;  To provide for reliquidation of entries prematurely liquidated by the United States Customs Service."
44;107;4542;"HR";99;"-- Private Bill;  To provide for the reliquidation of certain entries of vanadium carbides and vanadium carbonitride."
45;107;4543;"HR";99;"-- Private Bill;  For the relief of Richi James Lesley."
46;107;4544;"HR";16;"To provide for the conveyance of the Sunflower Army Ammunition Plant, Kansas."
47;107;4545;"HR";10;"To authorize appropriations for the benefit of Amtrak for fiscal year 2003, and for other purposes."
48;107;4546;"HR";16;"To authorize appropriations for fiscal year 2003 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe personnel strengths for such fiscal year for"
49;107;4547;"HR";16;"To authorize appropriations for fiscal year 2003 for military activities of the Department of Defense and to prescribe military personnel strengths for fiscal year 2003."
50;107;4548;"HR";12;"To amend the Federal Fire Prevention and Control Act of 1974 with respect to firefighter assistance."
51;107;4549;"HR";18;"To codify the duty-free treatment of imports of straight sawn shingles of western red cedar."
52;107;4550;"HR";5;"To amend the trade adjustment assistance program under the Trade Act of 1974 to clarify the eligibility requirements with respect to adversely affected workers who are engaged in self-employment assistance activities, and for other purposes."
53;107;4551;"HR";15;"To deem the nondisclosure of employer-owned life insurance coverage of employees an unfair trade practice under the Federal Trade Commission Act, and for other purposes."
54;107;4552;"HR";21;"To amend the National Park Service Concessions Management Improvement Act of 1998 regarding certain small contracts."
55;107;4553;"HR";3;"To amend the Internal Revenue Code of 1986 to provide that the vaccine excise tax shall apply to any vaccine against hepatitis A."
56;107;4554;"HR";20;"To establish a program under which employees of the legislative branch may be reimbursed for the costs of graduate school tuition and fees, and for other purposes."
57;107;4555;"HR";6;"To amend the Internal Revenue Code of 1986 to exclude from gross income amounts paid by the Department of Defense toward the repayment of certain student loans owed by members of the uniformed services."
58;107;4556;"HR";18;"To suspend temporarily the duty on a certain chemical."
59;107;4557;"HR";16;"To reduce recurring reporting requirements imposed by law on the Department of Defense."
60;107;4558;"HR";19;"To extend the Irish Peace Process Cultural and Training Program."
61;107;4559;"HR";16;"To amend title 38, United States Code, to establish a new Assistant Secretary to perform operations, preparedness, security and law enforcement functions, and for other purposes."
62;107;4560;"HR";17;"To eliminate the deadlines for spectrum auctions of spectrum previously allocated to television broadcasting."
63;107;4561;"HR";2;"To amend title 5, United States Code, to require that agencies, in promulgating rules, take into consideration the impact of such rules on the privacy of individuals, and for other purposes."
64;107;4562;"HR";18;"To suspend temporarily the duty on upholstery leather."
65;107;4563;"HR";18;"To suspend temporarily the duty on pretanned bovine leather."
66;107;4564;"HR";18;"To suspend temporarily the duty on Astacin Finish PUM."
67;107;4565;"HR";18;"To suspend temporarily the duty on Bayderm Bottom 51-UD."
68;107;4566;"HR";18;"To suspend temporarily the duty on Bayderm Bottom DLV."
69;107;4567;"HR";18;"To suspend temporarily the duty on Relugan D."
70;107;4568;"HR";18;"To suspend temporarily the duty on Bayderm Bottom 10UD."
71;107;4569;"HR";18;"To suspend temporarily the duty on Basyntan MLB Powder."
72;107;4570;"HR";18;"To suspend temporarily the duty on SYNCUROL SE."
73;107;4571;"HR";18;"To suspend temporarily the duty on Luganil Brown NGT Powder."
74;107;4572;"HR";7;"To amend the Federal Water Pollution Control Act to increase certain criminal penalties, and for other purposes."
75;107;4573;"HR";19;"To provide for the adjudication of certain claims against the Government of Iraq and to ensure priority for United States veterans filing such claims."
76;107;4574;"HR";5;"To facilitate the consolidation and rationalization of the steel industry, and for other purposes."
77;107;4575;"HR";5;"To amend the Immigration and Nationality Act to change the requirements for naturalization to citizenship through service in the Armed Forces of the United States."
78;107;4576;"HR";21;"To decide the name of a creek in Queen Anne's County, Maryland."
79;107;4577;"HR";18;"To suspend temporarily the duty on Sella Fast Brown OM."
80;107;4578;"HR";18;"To suspend temporarily the duty on Sella Fast Brown DS."
81;107;4579;"HR";7;"To amend the Endangered Species Act of 1973 to ensure the recovery of our Nation's declining biological diversity; to reaffirm and strengthen this Nation's commitment to protect wildlife; to safeguard our children's economic and ecological futu"
82;107;4580;"HR";20;"To provide for reform relating to Federal employee career development and benefits, and for other purposes."
83;107;4581;"HR";6;"To amend title VI of the Elementary and Secondary Education Act of 1965 to include programs that encourage academic rigor in scientific education in elementary schools."
84;107;4582;"HR";6;"To improve access to printed instructional materials used by blind or other persons with print disabilities in elementary and secondary schools, and for other purposes."
85;107;4583;"HR";18;"To reduce the duty on certain straw hats."
86;107;4584;"HR";3;"To amend title XIX of the Social Security Act to extend the authorization of transitional medical assistance for 1 year."
87;107;4585;"HR";12;"To amend title V of the Social Security Act to extend abstinence education funding under maternal and child health program through fiscal year 2007."
88;107;4586;"HR";15;"To amend the Small Business Act and the Small Business Investment Act of 1958 to authorize grants and other assistance to promote the redevelopment of certain remediated sites."
89;107;4587;"HR";10;"To establish the Joint Federal and State Navigable Waters Commission for Alaska."
90;107;4588;"HR";99;"-- Private Bill;  To provide for the liquidation or reliquidation of certain entries."
91;107;4589;"HR";21;"To provide for expedited decisions on wilderness study areas, to provide that lands designated as wilderness study areas for more than 15 years shall be used in accordance with the Multiple-Use Sustained-Yield Act of 1960, and for other purpose"
92;107;4590;"HR";20;"To authorize the President to award a gold medal on behalf of Congress to Muhammad Ali in recognition of his contributions to the Nation."
93;107;4591;"HR";19;"To support the democratically elected Government of Colombia and the unified campaign against illicit narcotics trafficking, terrorist activities, and other threats to the national security of Colombia."
94;107;4592;"HR";20;"Bob Hope Veterans Chapel."
95;107;4593;"HR";1;"To amend the Balanced Budget and Emergency Deficit Control Act of 1985 and the Congressional Budget Act of 1974 to extend the discretionary spending caps and the pay-as-you-go requirement, and for other purposes."
96;107;4594;"HR";1;"To increase the statutory debt limit and to require a Presidential plan to restore balanced budgets and protect Social Security."
97;107;4595;"HR";16;"To amend title 32, United States Code, to revise the matching funds requirements for States participating in the National Guard Challenge Program, and for other purposes."
98;107;4596;"HR";3;"To provide for a comprehensive Federal effort relating to treatments for, and the prevention of cancer, and for other purposes."
99;107;4597;"HR";5;"To prevent nonimmigrant aliens who are delinquent in child support payments from gaining entry into the United States."
100;107;4598;"HR";12;"To provide for the sharing of homeland security information by Federal intelligence and law enforcement agencies with State and local entities."
101;107;4599;"HR";6;"To establish a pilot program to encourage certification of teachers in low-income, low-performing public elementary and secondary schools by the National Board for Professional Teaching Standards, and for other purposes."
102;107;4600;"HR";3;"To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system."
103;107;4601;"HR";21;"To provide for the conveyance of a small parcel of Bureau of Land Management land in Douglas County, Oregon, to the county to improve management of and recreational access to the Oregon Dunes National Recreation Area, and for other purposes."
104;107;4602;"HR";3;"To amend the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act to ensure a safe pregnancy for all women in the United States, to reduce the rate of maternal morbidity and mortality, to eliminate racial and ethnic disparitie"
105;107;4603;"HR";10;"To amend the Internal Revenue Code of 1986 to provide that the segment tax on domestic air transportation shall not apply to segments to or from certain islands."
106;107;4604;"HR";3;"To amend the Internal Revenue Code of 1986 to allow individuals a refundable credit against income tax for the purchase of private health insurance."
107;107;4605;"HR";7;"To amend the Nuclear Waste Policy Act of 1982 with respect to transportation of nuclear waste."
108;107;4606;"HR";3;"To amend the Public Health Service Act to provide for Alzheimer's disease research and demonstration grants."
109;107;4607;"HR";15;"To provide for fire safety standards for cigarettes, and for other purposes."
110;107;4608;"HR";20;"To name the Department of Veterans Affairs Medical and Regional Office Center in Wichita, Kansas, as the 'Robert J. Dole Department of Veterans Affairs Medical and Regional Office Center'."
111;107;4609;"HR";21;"To direct the Secretary of the Interior to conduct a comprehensive study of the Rathdrum Prairie/Spokane Valley Aquifer, located in Idaho and Washington."
112;107;4610;"HR";21;"To direct the Administrator of the Environmental Protection Agency to carry out a pilot program for restoration of urban watersheds and community environments in the Anacostia River watershed, District of Columbia and Maryland, and for other pu"
113;107;4611;"HR";7;"To amend the Clean Air Act to establish an inventory, registry, and information system of United States greenhouse gas emissions to inform the public and private sectors concerning, and encourage voluntary reductions in, greenhouse gas emission"
114;107;4612;"HR";15;"To amend the Federal Credit Union Act to provide expanded access for persons in the field of membership of a Federal credit union to money order and check cashing services."
115;107;4613;"HR";17;"Pete Conrad, astronaut and space scientist, for recognizing the discoveries made by amateur astronomers of asteroids with near-Earth orbit trajectories."
116;107;4614;"HR";3;"To permit commercial importation of prescription drugs from Canada, and for other purposes."
117;107;4615;"HR";10;"To amend the Intermodal Surface Transportation Efficiency Act of 1991 to identify a route that passes through the State of Texas, New Mexico, Oklahoma, and Kansas, as a high priority corridor on the National Highway System."
118;107;4616;"HR";99;"-- Private Bill;  For the relief of Alfonso Quezada-Bonilla."
119;107;4617;"HR";20;"Hatch Act."
120;107;4618;"HR";7;"To amend the Magnuson-Stevens Fishery Conservation and Management Act to provide for the conservation of stocks of Pacific highly migratory species by directing the Secretary of Commerce to prohibit pelagic longline fishing in the exclusive eco"
121;107;4619;"HR";21;"To authorize the Secretary of the Army to provide a credit toward the non-Federal share of the cost of the feasibility study for the project for flood control in the vicinity of Sprague, Lincoln County, Washington, and for other purposes."
122;107;4620;"HR";21;"To accelerate the wilderness designation process by establishing a timetable for the completion of wilderness studies on Federal lands, and for other purposes."
123;107;4621;"HR";16;"To amend title 38, United States Code, to authorize additional compensation to be paid to certain veterans in receipt of compensation for a service-connected disability rated totally disabling for whom a family member dependent on the veteran f"
124;107;4622;"HR";21;"To require Federal land managers to support, and to communicate, coordinate, and cooperate with, designated gateway communities, to improve the ability of gateway communities to participate in Federal land management planning conducted by the F"
125;107;4623;"HR";12;"To prevent trafficking in child pornography and obscenity, to proscribe pandering and solicitation relating to visual depictions of minors engaging in sexually explicit conduct, to prevent the use of child pornography and obscenity to facilitat"
126;107;4624;"HR";16;"To promote the non-proliferation of nuclear weapons and other weapons of mass destruction."
127;107;4625;"HR";99;"-- Private Bill;  For the relief of Zdanko Lisak."
128;107;4626;"HR";1;"To amend the Internal Revenue Code of 1986 to accelerate the marriage penalty relief in the standard deduction and to modify the work opportunity credit and the welfare-to-work credit."
129;107;4627;"HR";15;"To amend the Real Estate Settlement Procedures Act of 1974 to prohibit certain unearned fees in connection with settlement services involved in residential mortgage loan transactions."
130;107;4628;"HR";16;"To authorize appropriations for fiscal year 2003 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and f"
131;107;4629;"HR";20;"To amend the Office of Federal Procurement Policy Act to establish a program to encourage and support carrying out innovative proposals to enhance homeland security, and for other purposes."
132;107;4630;"HR";1;"To review, reform, and terminate unnecessary and inequitable Federal subsidies."
133;107;4631;"HR";21;"To amend titles XI and XIX of the Social Security Act to provide American Samoa with treatment under the Medicaid Program similar to that provided to States."
134;107;4632;"HR";13;"To amend the Internal Revenue Code of 1986 to direct the Secretary of the Treasury to notify certain taxpayers of the eligibility requirements for the earned income credit."
135;107;4633;"HR";10;"To amend title 23, United States Code, to establish standards for State programs for the issuance of drivers' licenses and identification cards, and for other purposes."
136;107;4634;"HR";3;"To establish certain legal waivers for physicians who provide assistance in the National Capital Area during any period in which a public health emergency is in effect in such Area."
137;107;4635;"HR";10;"To amend title 49, United States Code, to establish a program for Federal flight deck officers, and for other purposes."
138;107;4636;"HR";5;"To amend certain labor laws to ensure fairness."
139;107;4637;"HR";6;"To amend section 402A of the Higher Education Act of 1965 to define the terms different campus and different population."
140;107;4638;"HR";21;"To reauthorize the Mni Wiconi Rural Water Supply Project."
141;107;4639;"HR";6;"To eliminate the termination date on authority for schools with low default rates to make single disbursements of student loans."
142;107;4640;"HR";17;"To provide criminal penalties for providing false information in registering a domain name on the Internet."
143;107;4641;"HR";17;"To allocate spectrum for the enhancement of wireless telecommunications, and to invest wireless spectrum auction proceeds for the military preparedness and educational preparedness of the United States for the digital era, and for other purpose"
144;107;4642;"HR";20;"To repeal the law banning firearms in the District of Columbia."
145;107;4643;"HR";15;"To provide for the special application of the antitrust laws to certain negotiations of freelance writers and freelance artists for the sale of their written and graphic material to publishers."
146;107;4644;"HR";3;"To amend the Public Health Service Act with respect to testing pregnant women and newborn infants for infection with the human immunodeficiency virus."
147;107;4645;"HR";12;"To amend title 18, United States Code, to prohibit the sale or rental of adult video games to minors."
148;107;4646;"HR";1;"To remedy certain effects of injurious steel imports by protecting benefits of steel industry retirees and encouraging the strengthening of the American steel industry."
149;107;4647;"HR";19;"To provide for satisfaction of judgements from frozen assets of terrorists, terrorist organizations, and State sponsors of terrorism, and for other purposes."
150;107;4648;"HR";16;"To provide for the disposition of weapons-usable plutonium at the Savannah River Site, Aiken, South Carolina."
151;107;4649;"HR";5;"To adjust the immigration status of certain Haitian nationals."
152;107;4650;"HR";10;"To amend title 49, United States Code, to improve airport security by using biometric security badges, and for other purposes."
153;107;4651;"HR";1;"To amend the Internal Revenue Code of 1986 to provide for installment reporting of certain gain from the sale of an interest in service business."
154;107;4652;"HR";15;"To prevent fraud and deception in network recreational games."
155;107;4653;"HR";10;"To enable the United States to maintain its leadership in aeronautics and aviation by instituting an initiative to develop technologies that will enable future aircraft with significantly lower noise, emissions, and fuel consumption; to reinvig"
156;107;4654;"HR";3;"To amend the Public Health Service Act to provide programs to improve nurse retention, the nursing workplace, and the quality of care."
157;107;4655;"HR";12;"To ensure that all States address domestic and sexual violence in their temporary assistance to needy families program."
158;107;4656;"HR";7;"To amend the Endangered Species Act of 1973 to establish requirements for the designation of critical habitat in Hawaii, and for other purposes."
159;107;4657;"HR";21;"To authorize the Secretary of the Interior to implement the Calfed Bay-Delta Program."
160;107;4658;"HR";12;"To amend title 18, United States Code, to punish persons who use false or misleading domain names to attract children to Internet sites not appropriate for children."
161;107;4659;"HR";3;"To streamline the regulatory processes applicable to home health agencies under the Medicare Program under title XVIII of the Social Security Act and the Medicaid Program under title XIX of such Act, and for other purposes."
162;107;4660;"HR";12;"To establish the Department of National Homeland Security and the National Office for Combating Terrorism."
163;107;4661;"HR";20;"To amend title 39, United States Code, to direct the Postal Service to adhere to an equitable tender policy in selecting air carriers of nonpriority bypass mail to certain points in the State of Alaska, and for other purposes."
164;107;4662;"HR";99;"-- Private Bill;  For the relief of Sharif Kesbeh, Asmaa Sharif Kesbeh, Batool Kesbeh, Noor Sharif Kesbeh, Alaa Kesbeh, Sondos Kesbeh, Hadeel Kesbeh, and Mohanned Kesbeh."
165;107;4663;"HR";6;"To authorize funds to compensate New York City public schools for operating and education-related expenses (including mental health and trauma counseling and other appropriate support services), resulting from the terrorist attack on such city"
166;107;4664;"HR";17;"An act to authorize appropriations for fiscal years 2003, 2004, 2005, 2006, and 2007 for the National Science Foundation, and for other purposes."
167;107;4665;"HR";3;"To authorize the Secretary of Health and Human Services to award grants to associate degree schools of nursing and professional nursing organizations to improve nursing education, and for other purposes."
168;107;4666;"HR";7;"To amend the Federal Water Pollution Control Act to provide assistance for nutrient removal technologies to States in the Chesapeake Bay watershed."
169;107;4667;"HR";5;"To protect children from exploitive child modeling, and for other purposes."
170;107;4668;"HR";8;"To amend the Internal Revenue Code of 1986 to expand the renewable resources production tax credit to include additional forms of renewable energy, and to expand the investment tax credit to include equipment used to produce electricity from re"
171;107;4669;"HR";2;"To provide for racial equity and fair treatment under the program of block grants to States for temporary assistance for needy families."
172;107;4670;"HR";7;"To reauthorize the United States Institute for Environmental Conflict Resolution, and for other purposes."
173;107;4671;"HR";13;"To amend title II of the Social Security Act to improve benefits for aged survivors, disabled survivors, and divorced spouses, and for other purposes."
174;107;4672;"HR";20;"To provide that, if an individual is expelled from Congress, any Member service previously rendered by that individual shall be noncreditable for purposes of determining eligibility for or the amount of any benefits which might otherwise be pay"
175;107;4673;"HR";3;"To amend the Public Health Service Act to provide for voluntary reporting by health care providers of medication error information in order to assist appropriate public and nonprofit private entities in developing and disseminating recommendati"
176;107;4674;"HR";12;"To assist local governments in conducting gun buyback programs."
177;107;4675;"HR";15;"To amend the Internal Revenue Code of 1986 to provide that the tax on recognized built-in gain of an S corporation shall not apply to amounts reinvested in the business."
178;107;4676;"HR";16;"To amend title 10, United States Code, to provide that military retired pay for nonregular service shall be paid without regard to the age of a person otherwise eligible for such retired pay, rather than commencing when an otherwise eligible pe"
179;107;4677;"HR";21;"To clarify the authority for use of snowmachines in certain areas of Denali National Park and Preserve, and for other purposes."
180;107;4678;"HR";2;"To protect and enhance consumer privacy, and for other purposes."
181;107;4679;"HR";12;"To amend title 18, United States Code, to provide a maximum term of supervised release of life for sex offenders."
182;107;4680;"HR";6;"To authorize appropriations for the Advanced Technological Education Program, to amend the Scientific and Advanced-Technology Act of 1992 to further strengthen science, mathematics, and technology education at the Nation's associate-degree-gran"
183;107;4681;"HR";21;"To establish the Fort Presque Isle National Historic Site in the Commonwealth of Pennsylvania."
184;107;4682;"HR";21;"To revise the boundary of the Allegheny Portage Railroad National Historic Site, and for other purposes."
185;107;4683;"HR";7;"To amend the Federal Water Pollution Control Act to clarify that fill material cannot be comprised of waste."
186;107;4684;"HR";3;"To amend title XVIII of the Social Security Act and the Employee Retirement Income Security Act of 1974 to improve access to health insurance and Medicare benefits for individuals ages 55 to 65 to be fully funded through premiums and anti-fraud"
187;107;4685;"HR";20;"To amend title 31, United States Code, to expand the types of Federal agencies that are required to prepare audited financial statements."
188;107;4686;"HR";21;"To direct the Secretary of Energy to convey a parcel of land at the facility of the Southwestern Power Administration in Tupelo, Oklahoma."
189;107;4687;"HR";17;"To provide for the establishment of investigative teams to assess building performance and emergency response and evacuation procedures in the wake of any building failure that has resulted in substantial loss of life or that posed significant"
190;107;4688;"HR";21;"To revise the boundary of the Petrified Forest National Park in the State of Arizona, and for other purposes."
191;107;4689;"HR";12;"To disapprove certain sentencing guideline amendments."
192;107;4690;"HR";3;"To require that pseudoephedrine be dispensed only upon a written prescription of a licensed practitioner, and for other purposes."
193;107;4691;"HR";2;"To prohibit certain abortion-related discrimination in governmental activities."
194;107;4692;"HR";21;"An Act to authorize the Establishment of the Andersonville National Historic Site in the State of Georgia, and for other purposes, to provide for the addition of certain donated lands to the Andersonville National Historic Site."
195;107;4693;"HR";19;"To hold accountable the Palestine Liberation Organization and the Palestinian Authority, and for other purposes."
196;107;4694;"HR";20;"To provide for flexibility in making emergency Federal procurements, and for other purposes."
197;107;4695;"HR";21;"To direct the Secretary of the Interior to study the suitability and feasibility of designating Fort Gaines and Fort Morgan in Alabama as units of the National Park System, and for other purposes."
198;107;4696;"HR";5;"To amend title 11 of the United States Code with respect to the allowance of certain claims or interests."
199;107;4697;"HR";3;"To amend the Public Health Service Act with respect to the protection of human subjects in research."
200;107;4698;"HR";16;"To require licenses for the sale, purchase, and distribution of certain chemicals that are precursors to chemical weapons, and for other purposes."
201;107;4699;"HR";19;"To establish appropriate procedures and sanctions to ensure that unpaid parking fines and penalties owed to New York City by foreign countries are paid."
202;107;4700;"HR";13;"To reauthorize and improve the program of block grants to States for temporary assistance for needy families, improve access to quality child care, and for other purposes."
203;107;4701;"HR";15;"To designate certain conduct by sports agents relating to the signing of contracts with student athletes as unfair and deceptive acts or practices to be regulated by the Federal Trade Commission."
